Sections,PainterCount,InputSize,Repetition,ExactMs,GreedyMs,OptimalCost,GreedyCost,ApproximationRatio
4,8,12,0,0.04797200017492287,0.038622001738986,5.0,5.0,1.0
4,8,12,1,0.04445000013220124,0.028342001314740628,6.0,6.0,1.0
4,8,12,2,0.04266100222594105,0.04390699905343354,5.0,7.0,1.4
6,12,18,0,0.15341600010287948,0.04044100205646828,4.0,4.0,1.0
6,12,18,1,0.17545000082463957,0.06455699985963292,9.0,12.0,1.3333333333333333
6,12,18,2,0.1501219994679559,0.06655700053670444,8.0,10.0,1.25
8,16,24,0,0.6247579985938501,0.05424199844128452,5.0,5.0,1.0
8,16,24,1,0.7847249980841298,0.05424199844128452,5.0,6.0,1.2
8,16,24,2,0.7745209986751433,0.0554510006622877,4.0,5.0,1.25
10,20,30,0,3.5702029999811202,0.07059899871819653,6.0,7.0,1.1666666666666667
10,20,30,1,3.5179850019630976,0.0601780011493247,4.0,4.0,1.0
10,20,30,2,2.8693389976979233,0.059536996559472755,6.0,6.0,1.0
12,24,36,0,16.1955140029022,0.0642140003037639,9.0,12.0,1.3333333333333333
12,24,36,1,17.30438600134221,0.04787400030181743,9.0,9.0,1.0
12,24,36,2,16.98514300005627,0.060152000514790416,7.0,7.0,1.0
14,28,42,0,64.83242399917799,0.04968999928678386,5.0,5.0,1.0
14,28,42,1,57.73933399905218,0.057356999604962766,7.0,7.0,1.0
14,28,42,2,57.934321001084754,0.04653799987863749,9.0,9.0,1.0
16,32,48,0,252.78223299756064,0.09890599903883412,4.0,4.0,1.0
16,32,48,1,329.61578100002953,0.05659700036630966,6.0,8.0,1.3333333333333333
16,32,48,2,259.84655100182863,0.04581100074574351,8.0,8.0,1.0
18,36,54,0,1015.788432003319,0.060309001128189266,11.0,11.0,1.0
18,36,54,1,965.4464859995642,0.057531000493327156,10.0,11.0,1.1
18,36,54,2,973.2595200002834,0.045731001591775566,6.0,6.0,1.0
20,40,60,0,4533.110696000222,0.09103499905904755,10.0,11.0,1.1
20,40,60,1,4226.856338002108,0.07996099884621799,5.0,5.0,1.0
20,40,60,2,4515.817401003005,0.06377300087478943,6.0,6.0,1.0
