Sections,PainterCount,InputSize,SuccessfulReps,DpMedianMs,GreedyMedianMs,RatioMean,RatioMax
4,8,12,1,0.05699999746866524,0.031800009310245514,1.0,1.0
5,10,15,1,0.07449999975506216,0.029300004825927317,1.0,1.0
6,12,18,1,0.1581999968038872,0.0408000050811097,1.0,1.0
7,14,21,1,0.30870000773575157,0.03619999915827066,1.0,1.0
8,16,24,1,0.5055999936303124,0.031400006264448166,1.0,1.0
9,18,27,1,1.189300004625693,0.03989999822806567,1.25,1.25
10,20,30,1,2.6448999997228384,0.04400000034365803,1.1666666666666667,1.1666666666666667
11,22,33,1,5.874299997230992,0.055900003644637764,1.0,1.0
12,24,36,1,12.559700000565499,0.04199999966658652,1.3333333333333333,1.3333333333333333
13,26,39,1,25.611300006858073,0.034500000765547156,1.0,1.0
14,28,42,1,77.11009999911766,0.044500004150904715,1.0,1.0
15,30,45,1,117.97549999027979,0.03750000905711204,1.0,1.0
16,32,48,1,252.98069999553263,0.044899992644786835,1.0,1.0
17,34,51,1,543.7875999923563,0.04919999628327787,1.1666666666666667,1.1666666666666667
18,36,54,1,1169.19919999782,0.07229999755509198,1.0,1.0
